date,snp,AMEX:LNG,ASX:ALX,ASX:QUB,ASX:SYD,ASX:TCL,BIT:AT,BIT:ATL,BIT:ENAV,BIT:ENEL,BME:AENA,BME:IBE,ENXTAM:VPK,ENXTPA:ADP,ENXTPA:ENGI,ENXTPA:GET,ENXTPA:GTT,LSE:NG.,LSE:SIG,NYSE:ASR,NYSE:AWK,NYSE:D,NYSE:DUK,NYSE:EBR,NYSE:ED,NYSE:ENIA,NYSE:ES,NYSE:ETRN,NYSE:FE,NYSE:KMI,NYSE:MIC,NYSE:NEE,NYSE:OKE,NYSE:PAC,NYSE:PEG,NYSE:PPL,NYSE:SBS,NYSE:SO,NYSE:SRE,NYSE:TRGP,NYSE:UGP,NYSE:WEC,NYSE:WMB,NZSE:AIA,NasdaqGS:AEP,NasdaqGS:EXC,NasdaqGS:OMAB,NasdaqGS:XEL,SEHK:1052,SEHK:1193,SEHK:1199,SEHK:135,SEHK:144,SEHK:152,SEHK:177,SEHK:1816,SEHK:270,SEHK:357,SEHK:371,SEHK:384,SEHK:548,SEHK:576,SEHK:694,SEHK:836,SGX:NS8U,SWX:FHZN,TSX:ENB,TSX:GEI,TSX:IPL,TSX:KEY,TSX:PPL,TSX:TRP,TSX:WTE,XTRA:EOAN,XTRA:FRA,XTRA:HHFA,XTRA:RWE
31-Jan-95,0.019776285821117755,-0.004858333333333333,,,,,-0.06007177275003909,,,,,-0.04096674966356432,,,,,,,-0.0771785439309786,,,0.054169504809921186,0.05415810365462,,0.09222898262111097,-0.13999345461514504,0.09918791828602964,,,,,0.0378461111111111,-0.017053387313725334,,0.08004720827206498,0.07408903508771932,,0.05436791679715299,,,,0.07726713284017446,0.0697685216115574,,0.059780480957723,0.0869785960633432,,0.04627801683999507,,-0.3048580582758234,-0.18410364783382652,-0.21278548644543063,,0.08085565696826842,,,-0.15518479489904727,,-0.08819079955177582,,,,,,,0.010179268568443055,-0.04433206972720453,,,,,0.01703960856201666,,-0.04934016738293082,,,-0.03926994143377375
28-Feb-95,0.03125747984070973,-0.004816666666666667,,,,,-0.04397663068747201,,,,,0.03862605175006609,,,,,,,-0.004816666666666667,,,0.00872091891795759,-0.02039082458259731,-0.3335706576543669,-0.009122917921291804,-0.030965379907516886,-0.033656445726885614,,,,,-0.013465649972898206,-0.019102461558344472,,0.008226834247250039,0.007378455284552856,,-0.016792789353507896,,,,-0.0009354425854688243,0.07013720401608728,,-0.020438507435832618,0.010483516893094593,,-0.02643831418137341,,-0.03339382092278706,0.029667026628501982,0.126443810270553,,0.3548329497658307,,,0.08749058263144008,,0.24518326576600338,,,,,,,-0.06037223578218551,0.08258839918544705,,,,,0.04518320723978733,,0.03391285617564968,,,0.13418629503004745
31-Mar-95,0.02257924352161503,-0.00475,,,,,-0.06756176369499042,,,,,-0.10242536876511074,,,,,,,0.06140802355820688,,,-0.05738156118752843,-0.03022771876636007,-0.12579226561076137,-0.01832456760563336,0.05976620265031766,-0.07068406593406593,,,,,0.009187177361492247,0.08945302891534748,,-0.047079719592609225,-0.03930480441519942,,-0.01687128872776741,,,,-0.0272724836783825,0.06046724252921613,,-0.06748068144425187,-0.06549750555874198,,-0.03237427120377941,,-0.18122058823529427,0.22858289663304102,-0.06552321657329693,,0.07589501751034702,,,0.05158813213262307,,-0.09565930712455925,,,,,,,-0.08318141435499657,0.02943776807086199,,,,,-0.018815007664258334,,-0.0372100619010863,,,-0.022099506525846992
30-Apr-95,0.023501537649870483,-0.004758333333333333,,,,,0.02967650298538169,,,,,0.10453122038251159,,,,,,,0.06703688797099736,,,0.009130506085631793,0.02792142070742085,0.4044695874815275,0.013590249887387749,0.13965420113972646,0.018771078431372688,,,,,0.005551398576532616,0.023541191582609453,,-0.0001922336393024547,-0.06845258942152535,,0.0225209811790382,,,,0.01828310066623082,0.06871113070712806,,0.026737777451400244,0.020117236458193053,,0.016238347005314544,,0.06667351260741769,-0.033732109707532404,-0.05770759283763374,0.04741534323157101,-0.12416123925872716,,,-0.051424956742562006,,-0.024757577011445455,,,,,,,0.008007613970204639,-0.000626408393821578,,,,,0.002234682177313905,,0.026914129594969614,,,0.02194109054894997
31-May-95,0.031309789068873085,-0.0047,,,,,0.03414908195253045,,,,,0.05805537900242822,,,,,,,0.1388403656030576,,,0.030407062602943274,0.0652879455440573,0.033058814737859134,0.09140539554412623,0.031470496287773354,0.11465010018807169,,,,,0.07626937225638601,-0.011235866959895053,,0.07711815751802036,0.04291923011477309,,0.06802735641968975,,,,0.04943329609981998,0.038052107041317264,,0.06069501182440177,0.10408818557784232,,0.06592148367718391,,0.017520116838603588,0.08875747363331359,-0.023325796674655803,0.040792042500306915,-0.07249689369344277,,,0.1771182294142654,,-0.06592431149254536,,,,,,,0.05412359863595132,0.011438656869441049,,,,,0.0022444528441948703,,0.058357880842942945,,,0.015166440304176392
30-Jun-95,0.016736923509561352,-0.004541666666666667,,,,,-0.056114213995761,,,,,0.07063354616247608,,,,,,,-0.0003579642290272309,,,-0.021376732638852314,-0.010529667517465868,-0.051164524067745076,-0.017093958644461504,0.0171033915020542,-0.06213328521489969,,,,,-0.02046520572272803,0.12045824188907739,,-0.05452440436252981,0.030321432173022522,,0.006757822551794134,,,,-0.03484471806720446,0.02119403509076312,,0.021005771162377895,-0.02231956134126567,,-0.03092681480056425,,-0.026278782257116218,0.1236638719758747,0.08405761052093608,0.1141027503090235,0.05000385313149347,,,0.007019114040438978,,-0.004541666666666667,,,,,,,0.0991927929707721,0.003792080475354841,,,,,0.023234709685180155,,0.009994278055063477,,,0.004722267530103074
31-Jul-95,0.027251044056906815,-0.0045249999999999995,,,,,0.021879874746106975,,,,,0.100980541632678,,,,,,,0.1288088190826625,,,-0.02849763938775196,-0.0045249999999999995,-0.011563783157888195,-0.021474100461354118,-0.1358809132074733,-0.0045249999999999995,,,,,-0.014233819267505885,0.09667331814085134,,-0.0045249999999999995,-0.017345626120806257,,-0.021284856015342912,,,,-0.0045249999999999995,0.056406605186272274,,-0.022318589262451005,0.03167414189732909,,-0.030809205723388855,,0.5176958808891104,0.17729245629187707,-0.010339889336016038,0.12426374380743666,-0.07349014170858936,,,0.08423233943889386,,-0.0045249999999999995,,,,,,,-0.04211897961800237,-0.029318181982012748,,,,,0.009080516005143814,,0.04510052278191845,,,0.026470884893048496
31-Aug-95,-0.004728583840396525,-0.33776833200006673,,,,,0.13426170375359026,,,,,-0.017145521191446952,,,,,,,-0.03381987113218697,,,0.02761751214166598,-0.013085910190805392,0.030819772157339123,-0.01275555224946455,-0.008433745351006036,0.031977644335707614,,,,,0.023528472797394354,-0.06354806430808489,,-0.013417457367854588,0.1319554495207771,,-0.03052431223259909,,,,-0.03158636302445349,-0.0037627236589212604,,0.0019118752406679512,-0.060179179069116503,,-0.04113149717514118,,-0.1284968258525473,-0.023638568674677826,-0.12136609577489509,-0.10508036121294605,-0.10070508993399628,,,-0.03701709019663056,,0.8435340419018538,,,,,,,0.0073103964713514685,0.05979155937531934,,,,,-0.011119861021267705,,-0.039062368655045074,,,-0.00048162749569134744
30-Sep-95,0.03203846906812859,-0.0043749999999999995,,,,,-0.12539586287218948,,,,,-0.04543985175993435,,,,,,,0.10116545317732852,,,0.0371475310746854,0.06331726271849793,0.09025598223656452,0.0708462389380531,-0.009301135915805819,0.06119879607256309,,,,,0.04707208243335816,0.058482081887432334,,0.09881433899843374,0.08486714932649987,,0.10805093525153599,,,,0.05143891830308547,0.05684934800275234,,0.06155912160789658,0.07074241591102971,,0.07608241688322927,,1.821309982138375,0.0871279729572585,-0.077222909790979,0.10010290978870386,-0.22568658813560002,,,0.03495084970455078,,-0.0043749999999999995,,,,,,,-0.000514002715722865,-0.008423569074626474,,,,,-0.03140200909866573,,0.0195689676780675,,,-0.027709861799694684
31-Oct-95,-0.00587578963034201,-0.09371905952369035,,,,,-0.031242750043015622,,,,,-0.011388175243953347,,,,,,,-0.07684665124852956,,,0.05204497305123752,0.027266935125175484,-0.07480267855483107,-0.004433333333333333,-0.009383856197622987,0.010951287683589949,,,,,0.020031560474871934,0.0567094127933538,,-0.017038412607371867,-0.041866378572547755,,0.011524187008967023,,,,0.035214263775109125,-0.014048659338059589,,0.04367662059186701,0.017400739973260037,,0.03688895234674301,,-0.03952604782914464,0.11859983152510796,-0.14728871049476572,0.18682103792061094,-0.1360121166661818,,,-0.012499549760937857,,-0.4279627582646483,,,,,,,-0.03520257249343621,0.04434698605470984,,,,,0.0026088985822245283,,0.025829990211807274,,,0.032446388581126764
